Core Project Number,Affilation,Authors ,	Country,	ISSN,Journal Issue,Journal (Link to PubMed abstract) ,Journal Title ABBR,Journal Volume,Language,Page Number,PMC ID,PMID,PUB Date,Title (Link to full-text in PubMed Central) ,PUB Year,Related Publications in PubMed,Related Publications in Google Scholar,Articles Citing from PubMed Central,Articles Citing from Google Scholar,Clinical Trials cited
U54DK107977,"Department of Genetics, University of North Carolina, Chapel Hill, NC 27599, USA.","Martin, Joshua S; Xu, Zheng; Reiner, Alex P; Mohlke, Karen L; Sullivan, Patrick; Ren, Bing; Hu, Ming; Li, Yun","England",1367-4811,"23","Bioinformatics (Oxford, England).","Bioinformatics",33,eng,"3793-3795",5860315,28582503,2017 Dec 01;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5860315/' target='_blank'>HUGIn: Hi-C Unifying Genomic Interrogator.</a>",2017,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=28582503&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/28582503' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5860315&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/28582503' target='_blank'>Cited By, Google</a>",
U01EB021237,"Department of Chemistry, Stanford University, 375 North-South Mall, Stanford, California 94305, USA.","Shechtman, Yoav; Gustavsson, Anna-Karin; Petrov, Petar N; Dultz, Elisa; Lee, Maurice Y; Weis, Karsten; Moerner, W E","United States",2156-7085,"12","Biomedical optics express.","Biomed Opt Express",8,eng,"5735-5748",5745116,29296501,2017 Dec 01;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5745116/' target='_blank'>Observation of live chromatin dynamics in cells via 3D localization microscopy using Tetrapod point spread functions.</a>",2017,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29296501&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29296501' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5745116&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29296501' target='_blank'>Cited By, Google</a>",
U01HL130010,"Lymphocyte Nuclear Biology, NIAMS, NIH, Bethesda, MD 20892, USA.","Kieffer-Kwon, Kyong-Rim; Nimura, Keisuke; Rao, Suhas S P; Xu, Jianliang; Jung, Seolkyoung; Pekowska, Aleksandra; Dose, Marei; Stevens, Evan; Mathe, Ewy; Dong, Peng; Huang, Su-Chen; Ricci, Maria Aurelia; Baranello, Laura; Zheng, Ying; Tomassoni Ardori, Francesco; Resch, Wolfgang; Stavreva, Diana; Nelson, Steevenson; McAndrew, Michael; Casellas, Adriel; Finn, Elizabeth; Gregory, Charles; St Hilaire, Brian Glenn; Johnson, Steven M; Dubois, Wendy; Cosma, Maria Pia; Batchelor, Eric; Levens, David; Phair, Robert D; Misteli, Tom; Tessarollo, Lino; Hager, Gordon; Lakadamyali, Melike; Liu, Zhe; Floer, Monique; Shroff, Hari; Aiden, Erez Lieberman; Casellas, Rafael","United States",1097-4164,"4","Molecular cell.","Mol Cell",67,eng,"566-578.e10",5854204,28803781,2017 Aug 17;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5854204/' target='_blank'>Myc Regulates Chromatin Decompaction and Nuclear Architecture during B Cell Activation.</a>",2017,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=28803781&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/28803781' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5854204&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/28803781' target='_blank'>Cited By, Google</a>",
U54DK107967,"Lymphocyte Nuclear Biology, NIAMS, NIH, Bethesda, MD 20892, USA.","Kieffer-Kwon, Kyong-Rim; Nimura, Keisuke; Rao, Suhas S P; Xu, Jianliang; Jung, Seolkyoung; Pekowska, Aleksandra; Dose, Marei; Stevens, Evan; Mathe, Ewy; Dong, Peng; Huang, Su-Chen; Ricci, Maria Aurelia; Baranello, Laura; Zheng, Ying; Tomassoni Ardori, Francesco; Resch, Wolfgang; Stavreva, Diana; Nelson, Steevenson; McAndrew, Michael; Casellas, Adriel; Finn, Elizabeth; Gregory, Charles; St Hilaire, Brian Glenn; Johnson, Steven M; Dubois, Wendy; Cosma, Maria Pia; Batchelor, Eric; Levens, David; Phair, Robert D; Misteli, Tom; Tessarollo, Lino; Hager, Gordon; Lakadamyali, Melike; Liu, Zhe; Floer, Monique; Shroff, Hari; Aiden, Erez Lieberman; Casellas, Rafael","United States",1097-4164,"4","Molecular cell.","Mol Cell",67,eng,"566-578.e10",5854204,28803781,2017 Aug 17;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5854204/' target='_blank'>Myc Regulates Chromatin Decompaction and Nuclear Architecture during B Cell Activation.</a>",2017,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=28803781&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/28803781' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5854204&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/28803781' target='_blank'>Cited By, Google</a>",
U01HL129998,"Department of Bioengineering, University of Pennsylvania, Philadelphia, Pennsylvania, USA.","Mellis, Ian A; Gupte, Rohit; Raj, Arjun; Rouhanifard, Sara H","United States",1548-7105,"8","Nature methods.","Nat Methods",14,eng,"801-804",5542810,28604724,2017 Aug;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5542810/' target='_blank'>Visualizing adenosine-to-inosine RNA editing in single mammalian cells.</a>",2017,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=28604724&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/28604724' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5542810&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/28604724' target='_blank'>Cited By, Google</a>",
U01HL129998,"Division of Hematology, Children's Hospital of Philadelphia, Philadelphia, PA 19104, USA; Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA 19104, USA.","Hsu, Sarah C; Gilgenast, Thomas G; Bartman, Caroline R; Edwards, Christopher R; Stonestrom, Aaron J; Huang, Peng; Emerson, Daniel J; Evans, Perry; Werner, Michael T; Keller, Cheryl A; Giardine, Belinda; Hardison, Ross C; Raj, Arjun; Phillips-Cremins, Jennifer E; Blobel, Gerd A","United States",1097-4164,"1","Molecular cell.","Mol Cell",66,eng,"102-116.e7",5393350,28388437,2017 Apr 06;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5393350/' target='_blank'>The BET Protein BRD2 Cooperates with CTCF to Enforce Transcriptional and Architectural Boundaries.</a>",2017,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=28388437&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/28388437' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5393350&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/28388437' target='_blank'>Cited By, Google</a>",
U01DA040588,"a Program in Systems Biology, Department of Biochemistry and Molecular Pharmacology , University of Massachusetts Medical School , Worcester , MA , USA.","Oomen, Marlies E; Dekker, Job","England",1549-7798,"2","Critical reviews in biochemistry and molecular biology.","Crit Rev Biochem Mol Biol",52,eng,"185-204",5456460,28228067,2017 Apr;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5456460/' target='_blank'>Epigenetic characteristics of the mitotic chromosome in 1D and 3D.</a>",2017,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=28228067&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/28228067' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5456460&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/28228067' target='_blank'>Cited By, Google</a>",
U54DK107980,"a Program in Systems Biology, Department of Biochemistry and Molecular Pharmacology , University of Massachusetts Medical School , Worcester , MA , USA.","Oomen, Marlies E; Dekker, Job","England",1549-7798,"2","Critical reviews in biochemistry and molecular biology.","Crit Rev Biochem Mol Biol",52,eng,"185-204",5456460,28228067,2017 Apr;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5456460/' target='_blank'>Epigenetic characteristics of the mitotic chromosome in 1D and 3D.</a>",2017,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=28228067&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/28228067' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5456460&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/28228067' target='_blank'>Cited By, Google</a>",
U54DK107980,"Institute of Molecular Biotechnology of the Austrian Academy of Sciences (IMBA), Vienna Biocenter (VBC), Vienna, Austria.","Gassler, Johanna; Brandão, Hugo B; Imakaev, Maxim; Flyamer, Ilya M; Ladstätter, Sabrina; Bickmore, Wendy A; Peters, Jan-Michael; Mirny, Leonid A; Tachibana, Kikuë","England",1460-2075,"24","The EMBO journal.","EMBO J",36,eng,"3600-3618",5730859,29217590,2017 12 15;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5730859/' target='_blank'>A mechanism of cohesin-dependent loop extrusion organizes zygotic genome architecture.</a>",2017,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29217590&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29217590' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5730859&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29217590' target='_blank'>Cited By, Google</a>",
U01EB021223,"Research Institute of Molecular Pathology (IMP), Vienna Biocenter (VBC), Vienna, Austria.","Wutz, Gordana; Várnai, Csilla; Nagasaka, Kota; Cisneros, David A; Stocsits, Roman R; Tang, Wen; Schoenfelder, Stefan; Jessberger, Gregor; Muhar, Matthias; Hossain, M Julius; Walther, Nike; Koch, Birgit; Kueblbeck, Moritz; Ellenberg, Jan; Zuber, Johannes; Fraser, Peter; Peters, Jan-Michael","England",1460-2075,"24","The EMBO journal.","EMBO J",36,eng,"3573-3599",5730888,29217591,2017 12 15;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5730888/' target='_blank'>Topologically associating domains and chromatin loops depend on cohesin and are regulated by CTCF, WAPL, and PDS5 proteins.</a>",2017,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29217591&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29217591' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5730888&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29217591' target='_blank'>Cited By, Google</a>",
U54DK107965,"","Dekker, Job; Belmont, Andrew S; Guttman, Mitchell; Leshyk, Victor O; Lis, John T; Lomvardas, Stavros; Mirny, Leonid A; O'Shea, Clodagh C; Park, Peter J; Ren, Bing; Politz, Joan C Ritland; Shendure, Jay; Zhong, Sheng; 4D Nucleome Network","England",1476-4687,"7684","Nature.","Nature",552,eng,"278",,29168505,2017 12 14;,"Corrigendum: The 4D nucleome project.",2017,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29168505&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29168505' target='_blank'>Related, Google Scholar</a>",," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29168505' target='_blank'>Cited By, Google</a>",
U01DA040612,"Department of Chemistry, Massachusetts Institute of Technology, Cambridge, United States.","Kaewsapsak, Pornchai; Shechner, David Michael; Mallard, William; Rinn, John L; Ting, Alice Y","England",2050-084X,"","eLife.","Elife",6,eng,"",5730372,29239719,2017 12 14;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5730372/' target='_blank'>Live-cell mapping of organelle-associated RNAs via proximity biotinylation combined with protein-RNA crosslinking.</a>",2017,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29239719&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29239719' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5730372&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29239719' target='_blank'>Cited By, Google</a>",
U01HL130010,"Center for Theoretical Biological Physics, Rice University, Houston, TX 77005; michele.dipierro@rice.edu jonuchic@rice.edu.","Di Pierro, Michele; Cheng, Ryan R; Lieberman Aiden, Erez; Wolynes, Peter G; Onuchic, José N","United States",1091-6490,"46","Proceedings of the National Academy of Sciences of the United States of America.","Proc Natl Acad Sci U S A",114,eng,"12126-12131",5699090,29087948,2017 11 14;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5699090/' target='_blank'>De novo prediction of human chromosome structures: Epigenetic marking patterns encode genome architecture.</a>",2017,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29087948&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29087948' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5699090&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29087948' target='_blank'>Cited By, Google</a>",
U01HL129998,"Department of Bioengineering, University of Pennsylvania, Philadelphia, PA.","Norton, Heidi K; Phillips-Cremins, Jennifer E","United States",1540-8140,"11","The Journal of cell biology.","J Cell Biol",216,eng,"3441-3452",5674879,28855250,2017 11 06;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5674879/' target='_blank'>Crossed wires: 3D genome misfolding in human disease.</a>",2017,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=28855250&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/28855250' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5674879&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/28855250' target='_blank'>Cited By, Google</a>",
U54DK107980,"Developmental Biology Unit. European Molecular Biology Laboratory. 69117 Heidelberg, Germany.","Schwarzer, Wibke; Abdennur, Nezar; Goloborodko, Anton; Pekowska, Aleksandra; Fudenberg, Geoffrey; Loe-Mie, Yann; Fonseca, Nuno A; Huber, Wolfgang; H Haering, Christian; Mirny, Leonid; Spitz, Francois","England",1476-4687,"7678","Nature.","Nature",551,eng,"51-56",5687303,29094699,2017 11 02;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5687303/' target='_blank'>Two independent modes of chromatin organization revealed by cohesin removal.</a>",2017,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29094699&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29094699' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5687303&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29094699' target='_blank'>Cited By, Google</a>",
U01EB021236,"Janelia Research Campus, Howard Hughes Medical Institute, Ashburn, United States.","Tsai, Albert; Muthusamy, Anand K; Alves, Mariana Rp; Lavis, Luke D; Singer, Robert H; Stern, David L; Crocker, Justin","England",2050-084X,"","eLife.","Elife",6,eng,"",5695909,29095143,2017 11 02;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5695909/' target='_blank'>Nuclear microenvironments modulate transcription from low-affinity enhancers.</a>",2017,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=29095143&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/29095143' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5695909&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/29095143' target='_blank'>Cited By, Google</a>",
U01CA200060,"Bioinformatics and Genomics Program, Pennsylvania State University, University Park, Pennsylvania 16802, USA.","Yang, Tao; Zhang, Feipeng; Yard?mc?, Galip Gürkan; Song, Fan; Hardison, Ross C; Noble, William Stafford; Yue, Feng; Li, Qunhua","United States",1549-5469,"11","Genome research.","Genome Res",27,eng,"1939-1949",5668950,28855260,2017 11;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5668950/' target='_blank'>HiCRep: assessing the reproducibility of Hi-C data using a stratum-adjusted correlation coefficient.</a>",2017,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=28855260&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/28855260' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5668950&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/28855260' target='_blank'>Cited By, Google</a>",
U54DK107977,"Ludwig Institute for Cancer Research, La Jolla, California 92093; email: biren@ucsd.edu.","Yu, Miao; Ren, Bing","United States",1530-8995,"","Annual review of cell and developmental biology.","Annu Rev Cell Dev Biol",33,eng,"265-289",5837811,28783961,2017 10 06;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5837811/' target='_blank'>The Three-Dimensional Organization of Mammalian Genomes.</a>",2017,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=28783961&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/28783961' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5837811&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/28783961' target='_blank'>Cited By, Google</a>",
U54DK107981,"Institute of Structural and Molecular Biology, Department of Biological Sciences, Birkbeck College, University of London, Malet Street, London WC1E 7HX, United Kingdom.","Joseph, Agnel Praveen; Polles, Guido; Alber, Frank; Topf, Maya","England",1879-033X,"","Current opinion in structural biology.","Curr Opin Struct Biol",46,eng,"102-109",5683902,28735107,2017 10;,"<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5683902/' target='_blank'>Integrative modelling of cellular assemblies.</a>",2017,"<a href='https://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&DbFrom=pubmed&Cmd=Link&LinkName=pubmed_pubmed&IdsFromResult=28735107&ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&log$=relatedarticles&logdbfrom=pubmed' target='_blank'>Related, PubMed</a> "," <a href='https://scholar.google.com/scholar?q=related:https://www.ncbi.nlm.nih.gov/pubmed/28735107' target='_blank'>Related, Google Scholar</a>","<a href='http://www.pubmedcentral.nih.gov/tocrender.fcgi?artid=5683902&action=cited' target='_blank'>Cited By, PMC</a> "," <a href='https://scholar.google.com/scholar?hl=en&lr=&cites=https://www.ncbi.nlm.nih.gov/pubmed/28735107' target='_blank'>Cited By, Google</a>",
